id,1 thread,2 threads,4 threads,8 threads
1,8.367403,5.739855,4.841309,3.950583
2,8.454883,5.797352,4.725685,3.965636
3,8.360058,5.725124,4.707497,3.877965
4,8.378212,5.778405,4.671615,3.879412
5,8.374169,5.948596,4.695586,3.945728
6,8.681031,5.910265,4.733361,3.932714
7,8.373932,5.823037,4.659027,3.943898
8,8.387359,5.800689,4.673883,3.892326
9,8.384243,5.917962,4.664820,3.925846
10,8.372830,5.791167,4.704598,3.944719
11,8.652810,5.789208,4.830728,3.950022
12,8.426979,5.764450,4.724496,7.583422
13,8.672799,5.899994,4.585250,3.881123
14,8.577336,6.091837,4.800782,3.858079
15,8.508080,5.753878,4.705966,7.158106
16,8.389212,5.773829,4.646312,3.892809
17,8.544932,5.758920,4.680475,3.883711
18,8.674577,5.856215,4.699780,7.679171
19,8.398515,5.856106,4.674634,3.914930
20,8.409059,5.731088,4.746768,3.908852
