id,1 thread,2 threads,4 threads,8 threads
1,26.305074,16.244781,12.024158,9.777054
2,27.504348,16.342756,12.273327,12.022240
3,26.944137,16.642813,11.692169,8.683006
4,26.418931,16.300953,11.956273,8.744547
5,26.083069,16.309518,11.786373,8.607985
6,25.992986,16.677079,11.742994,13.554891
7,26.280621,16.424891,12.002430,8.710978
8,26.484021,16.394401,11.518929,8.718479
9,26.677811,16.407885,11.825383,8.664212
10,26.456025,16.696206,11.727650,8.952129
11,26.462908,16.409966,11.704869,10.540445
12,26.305569,16.532623,12.105627,8.735354
13,26.094285,16.523388,12.117733,9.247938
14,26.090232,16.392425,11.707524,8.753780
15,26.758620,16.288468,11.897115,16.486575
16,26.525905,16.595204,11.830496,8.888805
17,26.519952,16.597368,11.772089,8.621663
18,27.158622,16.682219,11.952622,8.706570
19,27.763184,16.652185,12.005272,9.630614
20,26.150097,17.167233,11.975024,10.039680
